,Category,Possible Search KW
0,Favorite,"['favorites', 'favourites', 'all-time-favorites', 'favorite-books', 'favorite', 'my-favorites', 'faves', 'favorite-series', 'shelfari-favorites', 'favourite', 'childhood-favorites', 'favs', 'favorite-authors', 'favorite-author']"
1,Children Books,"['kids', 'kids-books', 'kid-lit', 'kid-books', 'childrens', 'children', 'children-s', 'children-s-books', 'childrens-books', 'children-s-literature', 'children-s-lit', 'childrens-lit', 'children-young-adult', 'children-s-fiction', 'childrens-literature', 'childrens-fiction', 'children-books', 'children-ya', 'children-s-book', 'childhood', 'childhood-books', 'childhood-reads', 'my-childhood']"
